"from_airport";"to_airport";"departure_time";"arrival_time";"flight_number";"price"
"Milan";"London";2017-07-03 13:29:00;2017-07-03 15:59:00;"FN373";6809
"London";"Prague";2017-07-03 14:35:00;2017-07-03 17:05:00;"FN277";10845
"Vienna";"Prague";2017-07-03 21:59:00;2017-07-04 00:29:00;"FN310";11501
"Milan";"Prague";2017-07-03 10:07:00;2017-07-03 12:37:00;"FN267";2765
"London";"Vienna";2017-07-03 06:52:00;2017-07-03 09:22:00;"FN338";2791
"Prague";"Vienna";2017-07-03 12:31:00;2017-07-03 15:01:00;"FN389";11834
"Milan";"Vienna";2017-07-03 18:18:00;2017-07-03 20:48:00;"FN343";1697
"London";"Milan";2017-07-03 20:45:00;2017-07-03 23:15:00;"FN356";8766
"Prague";"Milan";2017-07-03 08:16:00;2017-07-03 10:46:00;"FN363";7737
"Vienna";"Milan";2017-07-03 11:28:00;2017-07-03 13:58:00;"FN299";15498
"Prague";"London";2017-07-04 17:56:00;2017-07-04 20:26:00;"FN297";15040
"Vienna";"London";2017-07-04 15:37:00;2017-07-04 18:07:00;"FN367";5568
"Milan";"London";2017-07-04 13:29:00;2017-07-04 15:59:00;"FN373";10164
"London";"Prague";2017-07-04 14:35:00;2017-07-04 17:05:00;"FN277";6461
"Vienna";"Prague";2017-07-04 21:59:00;2017-07-05 00:29:00;"FN310";5034
"Milan";"Prague";2017-07-04 10:07:00;2017-07-04 12:37:00;"FN267";10203
"London";"Vienna";2017-07-04 06:52:00;2017-07-04 09:22:00;"FN338";5054
"Prague";"Vienna";2017-07-04 12:31:00;2017-07-04 15:01:00;"FN389";7189
"Milan";"Vienna";2017-07-04 18:18:00;2017-07-04 20:48:00;"FN343";10980
"London";"Milan";2017-07-04 20:45:00;2017-07-04 23:15:00;"FN356";6646
"Prague";"Milan";2017-07-04 08:16:00;2017-07-04 10:46:00;"FN363";5595
"Vienna";"Milan";2017-07-04 11:28:00;2017-07-04 13:58:00;"FN299";4868
"Prague";"London";2017-07-05 17:56:00;2017-07-05 20:26:00;"FN297";15485
"Vienna";"London";2017-07-05 15:37:00;2017-07-05 18:07:00;"FN367";14935
"Milan";"London";2017-07-05 13:29:00;2017-07-05 15:59:00;"FN373";10729
"London";"Prague";2017-07-05 14:35:00;2017-07-05 17:05:00;"FN277";8935
"Vienna";"Prague";2017-07-05 21:59:00;2017-07-06 00:29:00;"FN310";2944
"Milan";"Prague";2017-07-05 10:07:00;2017-07-05 12:37:00;"FN267";13224
"London";"Vienna";2017-07-05 06:52:00;2017-07-05 09:22:00;"FN338";15778
"Prague";"Vienna";2017-07-05 12:31:00;2017-07-05 15:01:00;"FN389";17375
"Milan";"Vienna";2017-07-05 18:18:00;2017-07-05 20:48:00;"FN343";8052
"London";"Milan";2017-07-05 20:45:00;2017-07-05 23:15:00;"FN356";18237
"Prague";"Milan";2017-07-05 08:16:00;2017-07-05 10:46:00;"FN363";3808
"Vienna";"Milan";2017-07-05 11:28:00;2017-07-05 13:58:00;"FN299";15039
"Prague";"London";2017-07-06 17:56:00;2017-07-06 20:26:00;"FN297";2669
"Vienna";"London";2017-07-06 15:37:00;2017-07-06 18:07:00;"FN367";11763
"Milan";"London";2017-07-06 13:29:00;2017-07-06 15:59:00;"FN373";13415
"London";"Prague";2017-07-06 14:35:00;2017-07-06 17:05:00;"FN277";8114
"Vienna";"Prague";2017-07-06 21:59:00;2017-07-07 00:29:00;"FN310";5914
"Milan";"Prague";2017-07-06 10:07:00;2017-07-06 12:37:00;"FN267";9873
"London";"Vienna";2017-07-06 06:52:00;2017-07-06 09:22:00;"FN338";5141
"Prague";"Vienna";2017-07-06 12:31:00;2017-07-06 15:01:00;"FN389";4275
"Milan";"Vienna";2017-07-06 18:18:00;2017-07-06 20:48:00;"FN343";11907
"London";"Milan";2017-07-06 20:45:00;2017-07-06 23:15:00;"FN356";4304
"Prague";"Milan";2017-07-06 08:16:00;2017-07-06 10:46:00;"FN363";5388
"Vienna";"Milan";2017-07-06 11:28:00;2017-07-06 13:58:00;"FN299";12476
"Prague";"London";2017-07-07 17:56:00;2017-07-07 20:26:00;"FN297";11108
"Vienna";"London";2017-07-07 15:37:00;2017-07-07 18:07:00;"FN367";10651
"Milan";"London";2017-07-07 13:29:00;2017-07-07 15:59:00;"FN373";9039
"London";"Prague";2017-07-07 14:35:00;2017-07-07 17:05:00;"FN277";5087
"Vienna";"Prague";2017-07-07 21:59:00;2017-07-08 00:29:00;"FN310";7689
"Milan";"Prague";2017-07-07 10:07:00;2017-07-07 12:37:00;"FN267";2593
"London";"Vienna";2017-07-07 06:52:00;2017-07-07 09:22:00;"FN338";2558
"Prague";"Vienna";2017-07-07 12:31:00;2017-07-07 15:01:00;"FN389";15198
"Milan";"Vienna";2017-07-07 18:18:00;2017-07-07 20:48:00;"FN343";3835
"London";"Milan";2017-07-07 20:45:00;2017-07-07 23:15:00;"FN356";5172
"Prague";"Milan";2017-07-07 08:16:00;2017-07-07 10:46:00;"FN363";6696
"Vienna";"Milan";2017-07-07 11:28:00;2017-07-07 13:58:00;"FN299";14902
"Prague";"London";2017-07-08 17:56:00;2017-07-08 20:26:00;"FN297";11249
"Vienna";"London";2017-07-08 15:37:00;2017-07-08 18:07:00;"FN367";12872
"Milan";"London";2017-07-08 13:29:00;2017-07-08 15:59:00;"FN373";10193
"London";"Prague";2017-07-08 14:35:00;2017-07-08 17:05:00;"FN277";11066
"Vienna";"Prague";2017-07-08 21:59:00;2017-07-09 00:29:00;"FN310";14793
"Milan";"Prague";2017-07-08 10:07:00;2017-07-08 12:37:00;"FN267";10400
"London";"Vienna";2017-07-08 06:52:00;2017-07-08 09:22:00;"FN338";8778
"Prague";"Vienna";2017-07-08 12:31:00;2017-07-08 15:01:00;"FN389";3590
"Milan";"Vienna";2017-07-08 18:18:00;2017-07-08 20:48:00;"FN343";3962
"London";"Milan";2017-07-08 20:45:00;2017-07-08 23:15:00;"FN356";6979
"Prague";"Milan";2017-07-08 08:16:00;2017-07-08 10:46:00;"FN363";3207
"Vienna";"Milan";2017-07-08 11:28:00;2017-07-08 13:58:00;"FN299";8513
"Prague";"London";2017-07-09 17:56:00;2017-07-09 20:26:00;"FN297";5454
"Vienna";"London";2017-07-09 15:37:00;2017-07-09 18:07:00;"FN367";8225
"Milan";"London";2017-07-09 13:29:00;2017-07-09 15:59:00;"FN373";4760
"London";"Prague";2017-07-09 14:35:00;2017-07-09 17:05:00;"FN277";2635
"Vienna";"Prague";2017-07-09 21:59:00;2017-07-10 00:29:00;"FN310";3386
"Milan";"Prague";2017-07-09 10:07:00;2017-07-09 12:37:00;"FN267";15276
"London";"Vienna";2017-07-09 06:52:00;2017-07-09 09:22:00;"FN338";12945
"Prague";"Vienna";2017-07-09 12:31:00;2017-07-09 15:01:00;"FN389";14131
"Milan";"Vienna";2017-07-09 18:18:00;2017-07-09 20:48:00;"FN343";7607
"London";"Milan";2017-07-09 20:45:00;2017-07-09 23:15:00;"FN356";10396
"Prague";"Milan";2017-07-09 08:16:00;2017-07-09 10:46:00;"FN363";4211
"Vienna";"Milan";2017-07-09 11:28:00;2017-07-09 13:58:00;"FN299";9540
"Prague";"London";2017-07-10 17:56:00;2017-07-10 20:26:00;"FN297";3486
"Vienna";"London";2017-07-10 15:37:00;2017-07-10 18:07:00;"FN367";1987
"Milan";"London";2017-07-10 13:29:00;2017-07-10 15:59:00;"FN373";5023
"London";"Prague";2017-07-10 14:35:00;2017-07-10 17:05:00;"FN277";13835
"Vienna";"Prague";2017-07-10 21:59:00;2017-07-11 00:29:00;"FN310";12713
"Milan";"Prague";2017-07-10 10:07:00;2017-07-10 12:37:00;"FN267";10094
"London";"Vienna";2017-07-10 06:52:00;2017-07-10 09:22:00;"FN338";1428
"Prague";"Vienna";2017-07-10 12:31:00;2017-07-10 15:01:00;"FN389";5704
"Milan";"Vienna";2017-07-10 18:18:00;2017-07-10 20:48:00;"FN343";574
"London";"Milan";2017-07-10 20:45:00;2017-07-10 23:15:00;"FN356";15764
"Prague";"Milan";2017-07-10 08:16:00;2017-07-10 10:46:00;"FN363";9034
"Vienna";"Milan";2017-07-10 11:28:00;2017-07-10 13:58:00;"FN299";10529
"Prague";"London";2017-07-11 17:56:00;2017-07-11 20:26:00;"FN297";12065
"Vienna";"London";2017-07-11 15:37:00;2017-07-11 18:07:00;"FN367";11266
"Milan";"London";2017-07-11 13:29:00;2017-07-11 15:59:00;"FN373";7319
"London";"Prague";2017-07-11 14:35:00;2017-07-11 17:05:00;"FN277";4240
"Vienna";"Prague";2017-07-11 21:59:00;2017-07-12 00:29:00;"FN310";2926
"Milan";"Prague";2017-07-11 10:07:00;2017-07-11 12:37:00;"FN267";10744
"London";"Vienna";2017-07-11 06:52:00;2017-07-11 09:22:00;"FN338";5453
"Prague";"Vienna";2017-07-11 12:31:00;2017-07-11 15:01:00;"FN389";17295
"Milan";"Vienna";2017-07-11 18:18:00;2017-07-11 20:48:00;"FN343";6923
"London";"Milan";2017-07-11 20:45:00;2017-07-11 23:15:00;"FN356";8926
"Prague";"Milan";2017-07-11 08:16:00;2017-07-11 10:46:00;"FN363";6616
"Vienna";"Milan";2017-07-11 11:28:00;2017-07-11 13:58:00;"FN299";7816
"Prague";"London";2017-07-12 17:56:00;2017-07-12 20:26:00;"FN297";13403
"Vienna";"London";2017-07-12 15:37:00;2017-07-12 18:07:00;"FN367";9275
"Milan";"London";2017-07-12 13:29:00;2017-07-12 15:59:00;"FN373";3315
"London";"Prague";2017-07-12 14:35:00;2017-07-12 17:05:00;"FN277";6239
"Vienna";"Prague";2017-07-12 21:59:00;2017-07-13 00:29:00;"FN310";4989
"Milan";"Prague";2017-07-12 10:07:00;2017-07-12 12:37:00;"FN267";11140
"London";"Vienna";2017-07-12 06:52:00;2017-07-12 09:22:00;"FN338";1571
"Prague";"Vienna";2017-07-12 12:31:00;2017-07-12 15:01:00;"FN389";2797
"Milan";"Vienna";2017-07-12 18:18:00;2017-07-12 20:48:00;"FN343";2420
"London";"Milan";2017-07-12 20:45:00;2017-07-12 23:15:00;"FN356";9907
"Prague";"Milan";2017-07-12 08:16:00;2017-07-12 10:46:00;"FN363";3478
"Vienna";"Milan";2017-07-12 11:28:00;2017-07-12 13:58:00;"FN299";8445
"Prague";"London";2017-07-13 17:56:00;2017-07-13 20:26:00;"FN297";20762
"Vienna";"London";2017-07-13 15:37:00;2017-07-13 18:07:00;"FN367";5492
"Milan";"London";2017-07-13 13:29:00;2017-07-13 15:59:00;"FN373";3081
"London";"Prague";2017-07-13 14:35:00;2017-07-13 17:05:00;"FN277";1982
"Vienna";"Prague";2017-07-13 21:59:00;2017-07-14 00:29:00;"FN310";9275
"Milan";"Prague";2017-07-13 10:07:00;2017-07-13 12:37:00;"FN267";18963
"London";"Vienna";2017-07-13 06:52:00;2017-07-13 09:22:00;"FN338";2260
"Prague";"Vienna";2017-07-13 12:31:00;2017-07-13 15:01:00;"FN389";3951
"Milan";"Vienna";2017-07-13 18:18:00;2017-07-13 20:48:00;"FN343";14100
"London";"Milan";2017-07-13 20:45:00;2017-07-13 23:15:00;"FN356";16900
"Prague";"Milan";2017-07-13 08:16:00;2017-07-13 10:46:00;"FN363";15445
"Vienna";"Milan";2017-07-13 11:28:00;2017-07-13 13:58:00;"FN299";4302
"Prague";"London";2017-07-14 17:56:00;2017-07-14 20:26:00;"FN297";6548
"Vienna";"London";2017-07-14 15:37:00;2017-07-14 18:07:00;"FN367";3894
"Milan";"London";2017-07-14 13:29:00;2017-07-14 15:59:00;"FN373";3945
"London";"Prague";2017-07-14 14:35:00;2017-07-14 17:05:00;"FN277";11065
"Vienna";"Prague";2017-07-14 21:59:00;2017-07-15 00:29:00;"FN310";7713
"Milan";"Prague";2017-07-14 10:07:00;2017-07-14 12:37:00;"FN267";11214
"London";"Vienna";2017-07-14 06:52:00;2017-07-14 09:22:00;"FN338";11978
"Prague";"Vienna";2017-07-14 12:31:00;2017-07-14 15:01:00;"FN389";10868
"Milan";"Vienna";2017-07-14 18:18:00;2017-07-14 20:48:00;"FN343";12506
"London";"Milan";2017-07-14 20:45:00;2017-07-14 23:15:00;"FN356";4836
"Prague";"Milan";2017-07-14 08:16:00;2017-07-14 10:46:00;"FN363";11184
"Vienna";"Milan";2017-07-14 11:28:00;2017-07-14 13:58:00;"FN299";7387
"Prague";"London";2017-07-15 17:56:00;2017-07-15 20:26:00;"FN297";2954
"Vienna";"London";2017-07-15 15:37:00;2017-07-15 18:07:00;"FN367";6850
"Milan";"London";2017-07-15 13:29:00;2017-07-15 15:59:00;"FN373";3144
"London";"Prague";2017-07-15 14:35:00;2017-07-15 17:05:00;"FN277";2523
"Vienna";"Prague";2017-07-15 21:59:00;2017-07-16 00:29:00;"FN310";14168
"Milan";"Prague";2017-07-15 10:07:00;2017-07-15 12:37:00;"FN267";5857
"London";"Vienna";2017-07-15 06:52:00;2017-07-15 09:22:00;"FN338";8172
"Prague";"Vienna";2017-07-15 12:31:00;2017-07-15 15:01:00;"FN389";3129
"Milan";"Vienna";2017-07-15 18:18:00;2017-07-15 20:48:00;"FN343";7089
"London";"Milan";2017-07-15 20:45:00;2017-07-15 23:15:00;"FN356";11056
"Prague";"Milan";2017-07-15 08:16:00;2017-07-15 10:46:00;"FN363";1588
"Vienna";"Milan";2017-07-15 11:28:00;2017-07-15 13:58:00;"FN299";4555
"Prague";"London";2017-07-16 17:56:00;2017-07-16 20:26:00;"FN297";11701
"Vienna";"London";2017-07-16 15:37:00;2017-07-16 18:07:00;"FN367";1464
"Milan";"London";2017-07-16 13:29:00;2017-07-16 15:59:00;"FN373";8772
"London";"Prague";2017-07-16 14:35:00;2017-07-16 17:05:00;"FN277";16174
"Vienna";"Prague";2017-07-16 21:59:00;2017-07-17 00:29:00;"FN310";8893
"Milan";"Prague";2017-07-16 10:07:00;2017-07-16 12:37:00;"FN267";15596
"London";"Vienna";2017-07-16 06:52:00;2017-07-16 09:22:00;"FN338";5936
"Prague";"Vienna";2017-07-16 12:31:00;2017-07-16 15:01:00;"FN389";7874
"Milan";"Vienna";2017-07-16 18:18:00;2017-07-16 20:48:00;"FN343";9984
"London";"Milan";2017-07-16 20:45:00;2017-07-16 23:15:00;"FN356";4640
"Prague";"Milan";2017-07-16 08:16:00;2017-07-16 10:46:00;"FN363";12454
"Vienna";"Milan";2017-07-16 11:28:00;2017-07-16 13:58:00;"FN299";9642
"Prague";"London";2017-07-17 17:56:00;2017-07-17 20:26:00;"FN297";7790
"Vienna";"London";2017-07-17 15:37:00;2017-07-17 18:07:00;"FN367";19671
"Milan";"London";2017-07-17 13:29:00;2017-07-17 15:59:00;"FN373";4305
"London";"Prague";2017-07-17 14:35:00;2017-07-17 17:05:00;"FN277";7207
"Vienna";"Prague";2017-07-17 21:59:00;2017-07-18 00:29:00;"FN310";10518
"Milan";"Prague";2017-07-17 10:07:00;2017-07-17 12:37:00;"FN267";1905
"London";"Vienna";2017-07-17 06:52:00;2017-07-17 09:22:00;"FN338";11819
"Prague";"Vienna";2017-07-17 12:31:00;2017-07-17 15:01:00;"FN389";3861
"Milan";"Vienna";2017-07-17 18:18:00;2017-07-17 20:48:00;"FN343";9118
"London";"Milan";2017-07-17 20:45:00;2017-07-17 23:15:00;"FN356";9109
"Prague";"Milan";2017-07-17 08:16:00;2017-07-17 10:46:00;"FN363";6137
"Vienna";"Milan";2017-07-17 11:28:00;2017-07-17 13:58:00;"FN299";15232
"Prague";"London";2017-07-18 17:56:00;2017-07-18 20:26:00;"FN297";8016
"Vienna";"London";2017-07-18 15:37:00;2017-07-18 18:07:00;"FN367";8476
"Milan";"London";2017-07-18 13:29:00;2017-07-18 15:59:00;"FN373";6425
"London";"Prague";2017-07-18 14:35:00;2017-07-18 17:05:00;"FN277";9006
"Vienna";"Prague";2017-07-18 21:59:00;2017-07-19 00:29:00;"FN310";2849
"Milan";"Prague";2017-07-18 10:07:00;2017-07-18 12:37:00;"FN267";2596
"London";"Vienna";2017-07-18 06:52:00;2017-07-18 09:22:00;"FN338";3705
"Prague";"Vienna";2017-07-18 12:31:00;2017-07-18 15:01:00;"FN389";6179
"Milan";"Vienna";2017-07-18 18:18:00;2017-07-18 20:48:00;"FN343";7917
"London";"Milan";2017-07-18 20:45:00;2017-07-18 23:15:00;"FN356";3788
"Prague";"Milan";2017-07-18 08:16:00;2017-07-18 10:46:00;"FN363";1699
"Vienna";"Milan";2017-07-18 11:28:00;2017-07-18 13:58:00;"FN299";7172
"Prague";"London";2017-07-19 17:56:00;2017-07-19 20:26:00;"FN297";10861
"Vienna";"London";2017-07-19 15:37:00;2017-07-19 18:07:00;"FN367";11937
"Milan";"London";2017-07-19 13:29:00;2017-07-19 15:59:00;"FN373";9136
"London";"Prague";2017-07-19 14:35:00;2017-07-19 17:05:00;"FN277";9680
"Vienna";"Prague";2017-07-19 21:59:00;2017-07-20 00:29:00;"FN310";2665
"Milan";"Prague";2017-07-19 10:07:00;2017-07-19 12:37:00;"FN267";19467
"London";"Vienna";2017-07-19 06:52:00;2017-07-19 09:22:00;"FN338";4329
"Prague";"Vienna";2017-07-19 12:31:00;2017-07-19 15:01:00;"FN389";6570
"Milan";"Vienna";2017-07-19 18:18:00;2017-07-19 20:48:00;"FN343";6479
"London";"Milan";2017-07-19 20:45:00;2017-07-19 23:15:00;"FN356";7000
"Prague";"Milan";2017-07-19 08:16:00;2017-07-19 10:46:00;"FN363";5822
"Vienna";"Milan";2017-07-19 11:28:00;2017-07-19 13:58:00;"FN299";3414
"Prague";"London";2017-07-20 17:56:00;2017-07-20 20:26:00;"FN297";2980
"Vienna";"London";2017-07-20 15:37:00;2017-07-20 18:07:00;"FN367";5520
"Milan";"London";2017-07-20 13:29:00;2017-07-20 15:59:00;"FN373";11114
"London";"Prague";2017-07-20 14:35:00;2017-07-20 17:05:00;"FN277";6423
"Vienna";"Prague";2017-07-20 21:59:00;2017-07-21 00:29:00;"FN310";6809
"Milan";"Prague";2017-07-20 10:07:00;2017-07-20 12:37:00;"FN267";7799
"London";"Vienna";2017-07-20 06:52:00;2017-07-20 09:22:00;"FN338";5335
"Prague";"Vienna";2017-07-20 12:31:00;2017-07-20 15:01:00;"FN389";6770
"Milan";"Vienna";2017-07-20 18:18:00;2017-07-20 20:48:00;"FN343";4876
"London";"Milan";2017-07-20 20:45:00;2017-07-20 23:15:00;"FN356";4127
"Prague";"Milan";2017-07-20 08:16:00;2017-07-20 10:46:00;"FN363";12967
"Vienna";"Milan";2017-07-20 11:28:00;2017-07-20 13:58:00;"FN299";13241
"Prague";"London";2017-07-21 17:56:00;2017-07-21 20:26:00;"FN297";12840
"Vienna";"London";2017-07-21 15:37:00;2017-07-21 18:07:00;"FN367";4031
"Milan";"London";2017-07-21 13:29:00;2017-07-21 15:59:00;"FN373";8807
"London";"Prague";2017-07-21 14:35:00;2017-07-21 17:05:00;"FN277";2175
"Vienna";"Prague";2017-07-21 21:59:00;2017-07-22 00:29:00;"FN310";12857
"Milan";"Prague";2017-07-21 10:07:00;2017-07-21 12:37:00;"FN267";15674
"London";"Vienna";2017-07-21 06:52:00;2017-07-21 09:22:00;"FN338";11335
"Prague";"Vienna";2017-07-21 12:31:00;2017-07-21 15:01:00;"FN389";8129
"Milan";"Vienna";2017-07-21 18:18:00;2017-07-21 20:48:00;"FN343";4165
"London";"Milan";2017-07-21 20:45:00;2017-07-21 23:15:00;"FN356";10204
"Prague";"Milan";2017-07-21 08:16:00;2017-07-21 10:46:00;"FN363";9510
"Vienna";"Milan";2017-07-21 11:28:00;2017-07-21 13:58:00;"FN299";13588
"Prague";"London";2017-07-22 17:56:00;2017-07-22 20:26:00;"FN297";5905
"Vienna";"London";2017-07-22 15:37:00;2017-07-22 18:07:00;"FN367";3576
"Milan";"London";2017-07-22 13:29:00;2017-07-22 15:59:00;"FN373";22434
"London";"Prague";2017-07-22 14:35:00;2017-07-22 17:05:00;"FN277";8540
"Vienna";"Prague";2017-07-22 21:59:00;2017-07-23 00:29:00;"FN310";2172
"Milan";"Prague";2017-07-22 10:07:00;2017-07-22 12:37:00;"FN267";7326
"London";"Vienna";2017-07-22 06:52:00;2017-07-22 09:22:00;"FN338";11492
"Prague";"Vienna";2017-07-22 12:31:00;2017-07-22 15:01:00;"FN389";14072
"Milan";"Vienna";2017-07-22 18:18:00;2017-07-22 20:48:00;"FN343";11624
"London";"Milan";2017-07-22 20:45:00;2017-07-22 23:15:00;"FN356";3826
"Prague";"Milan";2017-07-22 08:16:00;2017-07-22 10:46:00;"FN363";3386
"Vienna";"Milan";2017-07-22 11:28:00;2017-07-22 13:58:00;"FN299";2747
"Prague";"London";2017-07-23 17:56:00;2017-07-23 20:26:00;"FN297";4296
"Vienna";"London";2017-07-23 15:37:00;2017-07-23 18:07:00;"FN367";26137
"Milan";"London";2017-07-23 13:29:00;2017-07-23 15:59:00;"FN373";7500
"London";"Prague";2017-07-23 14:35:00;2017-07-23 17:05:00;"FN277";4126
"Vienna";"Prague";2017-07-23 21:59:00;2017-07-24 00:29:00;"FN310";12062
"Milan";"Prague";2017-07-23 10:07:00;2017-07-23 12:37:00;"FN267";9564
"London";"Vienna";2017-07-23 06:52:00;2017-07-23 09:22:00;"FN338";7700
"Prague";"Vienna";2017-07-23 12:31:00;2017-07-23 15:01:00;"FN389";10803
"Milan";"Vienna";2017-07-23 18:18:00;2017-07-23 20:48:00;"FN343";11100
"London";"Milan";2017-07-23 20:45:00;2017-07-23 23:15:00;"FN356";10050
"Prague";"Milan";2017-07-23 08:16:00;2017-07-23 10:46:00;"FN363";14849
"Vienna";"Milan";2017-07-23 11:28:00;2017-07-23 13:58:00;"FN299";16893
"Prague";"London";2017-07-24 17:56:00;2017-07-24 20:26:00;"FN297";11688
"Vienna";"London";2017-07-24 15:37:00;2017-07-24 18:07:00;"FN367";6749
"Milan";"London";2017-07-24 13:29:00;2017-07-24 15:59:00;"FN373";5221
"London";"Prague";2017-07-24 14:35:00;2017-07-24 17:05:00;"FN277";4080
"Vienna";"Prague";2017-07-24 21:59:00;2017-07-25 00:29:00;"FN310";12910
"Milan";"Prague";2017-07-24 10:07:00;2017-07-24 12:37:00;"FN267";3717
"London";"Vienna";2017-07-24 06:52:00;2017-07-24 09:22:00;"FN338";2071
"Prague";"Vienna";2017-07-24 12:31:00;2017-07-24 15:01:00;"FN389";2184
"Milan";"Vienna";2017-07-24 18:18:00;2017-07-24 20:48:00;"FN343";9765
"London";"Milan";2017-07-24 20:45:00;2017-07-24 23:15:00;"FN356";3745
"Prague";"Milan";2017-07-24 08:16:00;2017-07-24 10:46:00;"FN363";19604
"Vienna";"Milan";2017-07-24 11:28:00;2017-07-24 13:58:00;"FN299";6267
"Prague";"London";2017-07-25 17:56:00;2017-07-25 20:26:00;"FN297";10964
"Vienna";"London";2017-07-25 15:37:00;2017-07-25 18:07:00;"FN367";4760
"Milan";"London";2017-07-25 13:29:00;2017-07-25 15:59:00;"FN373";11123
"London";"Prague";2017-07-25 14:35:00;2017-07-25 17:05:00;"FN277";5813
"Vienna";"Prague";2017-07-25 21:59:00;2017-07-26 00:29:00;"FN310";18882
"Milan";"Prague";2017-07-25 10:07:00;2017-07-25 12:37:00;"FN267";9777
"London";"Vienna";2017-07-25 06:52:00;2017-07-25 09:22:00;"FN338";16222
"Prague";"Vienna";2017-07-25 12:31:00;2017-07-25 15:01:00;"FN389";13758
"Milan";"Vienna";2017-07-25 18:18:00;2017-07-25 20:48:00;"FN343";3676
"London";"Milan";2017-07-25 20:45:00;2017-07-25 23:15:00;"FN356";11956
"Prague";"Milan";2017-07-25 08:16:00;2017-07-25 10:46:00;"FN363";11931
"Vienna";"Milan";2017-07-25 11:28:00;2017-07-25 13:58:00;"FN299";7525
"Prague";"London";2017-07-26 17:56:00;2017-07-26 20:26:00;"FN297";11939
"Vienna";"London";2017-07-26 15:37:00;2017-07-26 18:07:00;"FN367";2434
"Milan";"London";2017-07-26 13:29:00;2017-07-26 15:59:00;"FN373";9298
"London";"Prague";2017-07-26 14:35:00;2017-07-26 17:05:00;"FN277";5871
"Vienna";"Prague";2017-07-26 21:59:00;2017-07-27 00:29:00;"FN310";6604
"Milan";"Prague";2017-07-26 10:07:00;2017-07-26 12:37:00;"FN267";12430
"London";"Vienna";2017-07-26 06:52:00;2017-07-26 09:22:00;"FN338";8052
"Prague";"Vienna";2017-07-26 12:31:00;2017-07-26 15:01:00;"FN389";7044
"Milan";"Vienna";2017-07-26 18:18:00;2017-07-26 20:48:00;"FN343";9136
"London";"Milan";2017-07-26 20:45:00;2017-07-26 23:15:00;"FN356";7948
"Prague";"Milan";2017-07-26 08:16:00;2017-07-26 10:46:00;"FN363";7265
"Vienna";"Milan";2017-07-26 11:28:00;2017-07-26 13:58:00;"FN299";3193
"Prague";"London";2017-07-27 17:56:00;2017-07-27 20:26:00;"FN297";14550
"Vienna";"London";2017-07-27 15:37:00;2017-07-27 18:07:00;"FN367";10028
"Milan";"London";2017-07-27 13:29:00;2017-07-27 15:59:00;"FN373";6625
"London";"Prague";2017-07-27 14:35:00;2017-07-27 17:05:00;"FN277";11645
"Vienna";"Prague";2017-07-27 21:59:00;2017-07-28 00:29:00;"FN310";7595
"Milan";"Prague";2017-07-27 10:07:00;2017-07-27 12:37:00;"FN267";8168
"London";"Vienna";2017-07-27 06:52:00;2017-07-27 09:22:00;"FN338";8382
"Prague";"Vienna";2017-07-27 12:31:00;2017-07-27 15:01:00;"FN389";6084
